Date Added,Status,Pest family,Pest Name,Common name or abbreviation,Type of pest,EU and EPPO listing,High levels of uncertainty associated with the risk scores for this pest,Key uncertainty,Potential impact of key uncertainty,Climate uncertainty,Potential impact of Climate uncertainty,Current Distribution uncertainty,Potential impact of Current Distribution uncertainty,UK Distribution uncertainty,Potential impact of UK Distribution uncertainty,Hosts uncertainty,Potential impact of Hosts uncertainty,Impact uncertainty,Potential impact of Impact uncertainty,Pathways uncertainty,Potential impact of Pathways uncertainty,Regulation uncertainty,Potential impact of Regulation uncertainty,Taxonomy uncertainty,Potential impact of Taxonomy uncertainty,Other uncertainty,Potential impact of Other uncertainty,Major Hosts,UK,Europe,Global Distribution,Pathways,Pathway Assessed for Entry to UK,Scenario for Risk Register,Likelihood,Impact ,Value at Risk,UK Relative Risk Rating (unmitigated),Regulation,Surveillance,Industry Scheme,Contingency plan,Awareness,Research,Likelihood,Impact ,UK Relative Risk Rating (mitigated),Regulation,Deregulation or reduced regulation,Management by Industry,Targeted Survey,PRA,Contingency Plan,Publicity,Research,Action,General Comments
04-Mar-20,Live - Archived,Aleyrodidae,Aleurocanthus citriperdus ,,Insect,Regulated quarantine pest (Northern Ireland),,Rapid addition of pest via workshop,,,,,,,,,,,,,,,,,,,,Citrus aurantifolia; Citrus x aurantium; Citrus hystrix; Citrus limon; Citrus reticulata,Absent,,China; Indonesia; India; Sri Lanka; Malaysia; Singapore; Vietnam,Cut flowers or branches; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,0,,,1,Regulated quarantine pest (Northern Ireland). Prohibition of key pathway.,,,,,,0,,1,,,,,,,,,No statutory action in Great Britain. Statutory action in line with regulations for Northern Ireland.,A citrus whitefly which is likely to be of more concern to countries which produce citrus commercially.
12-Dec-18,Live,Aleyrodidae,Aleurocanthus spiniferus ,Citrus; mealywing; Orange spiny whitefly; Spiny blackfly; Whitefly; citrus spiny; Whitefly; orange spiny,Insect,Regulated quarantine pest. EPPO A2,, Climatic suitability of the UK,,Whether the UK climate could support the pest and potential lack of overwintering capacity in the UK.,,,,,,The full host range of A. spiniferus in the UK. The species is polyphagous; and there is potential for UK species not currently recorded as hosts to be identified.,,Lack of predation when spreading to new areas. Its unclear the full extent of the damage to fruit on Pyrus species; which is more relevant to the UK than Citrus. ,,,,,,,,,,Citrofortunella microcarpa; Citrus limon; Citrus paradisi; Citrus reticulata; Citrus sinensis; Diospyros kaki; Fortunella; Poncirus trifoliata; Psidium guajava; Pyrus pyraster; Rosa; Vitis vinifera; Citrus; Citroncirus,Absent,Albania; Austria; Belgium; Czech Republic; France; Greece; Croatia; Italy; Montenegro,United States; Australia; Micronesia; Papua New Guinea; Kenya; Mauritius; Nigeria; Reunion; [Kingdom of] eSwatini; Tanzania; Uganda; South Africa; Bangladesh; Brunei; Bhutan; China; Georgia; Indonesia; India; Iran; Japan; Cambodia; South Korea; Laos; Sri Lanka; Malaysia; Philippines; Pakistan; Thailand; Taiwan; Vietnam; Jamaica,Plants for planting (except seeds bulbs and tubers); Fruits or vegetables; Cut flowers or branches; Stored plant products; Hitchhiking,Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,2,3,18,Prohibitions on non-dormant Rosa; Pyrus; Prunus from outside Europe. Prohibitions Citrus; and Vitis; from any third country ,,,,,,3,2,18,,,,,,,,,Statutory action against findings,Polyphagous whitefly unlikely to pose a significant threat to UK plant health; but growers of host crops (e.g. citrus; Pyrus; Prunus; Rosa and Vitis) under protection may wish to be aware and monitor for its presence.
08-Oct-13,Live - Archived,Aleyrodidae,Aleurocanthus woglumi,Blue grey fly; Citrus blackfly; Citrus spring whitefly; Grey fly; blue; Whitefly; citrus spring,Insect,Regulated quarantine pest (Northern Ireland). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Anacardium occidentale; Annona cherimola; Carica papaya; Cestrum diurnum; Citrofortunella microcarpa; Citrus aurantifolia; Citrus x aurantium; Citrus limon; Citrus medica; Citrus paradisi; Citrus reticulata (s.l.); Citrus sinensis; Coffea arabica; Cydonia oblonga; Diospyros kaki; Diospyros virginiana; Eugenia uniflora; Fortunella; Lagerstroemia indica; Litchi chinensis; Malpighia punicifolia; Mangifera indica; Murraya paniculata; Musa x paradisiaca; Persea americana; Poncirus trifoliata; Psidium guajava; Punica granatum; Pyrus pyraster; Rosa; Vitis vinifera; Zingiber officinale; Citroncirus,Absent,,Mexico; United States; Brazil; Colombia; Ecuador; French Guiana; Guyana; Peru; Suriname; Venezuela; Papua New Guinea; Kenya; Seychelles; [Kingdom of] eSwatini; Tanzania; Uganda; South Africa; Zimbabwe; United Arab Emirates; Bangladesh; Bhutan; China; Georgia; Indonesia; India; Iran; Cambodia; North Korea; South Korea; Laos; Sri Lanka; Maldives; Malaysia; Nepal; Oman; Philippines; Pakistan; Singapore; Thailand; Vietnam; Yemen; Antigua and Barbuda; Barbados; Bermuda; Bahamas; Belize; Costa Rica; Cuba; Dominica; Dominican Republic; Guadeloupe; Guatemala; Haiti; Jamaica; Saint Kitts and Nevis; Cayman Islands; Saint Lucia; Nicaragua; Panama; Puerto Rico; El Salvador; Trinidad and Tobago; British Virgin Islands,Cut flowers or branches; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),,Pest is introduced,0,0,0,1,Regulated quarantine pest (Northern Ireland),,,,,,0,0,1,,,,,,,,,No statutory action in Great Britain. Statutory action in line with regulations for Northern Ireland.,Hosts not widely grown in the UK. More likely to be of concern to citrus growing countries.
08-Oct-13,Live - Archived,Aleyrodidae,Aleurocerus palmae,,Insect,,,,,,,,,,,,,,,,,,,,,,,Artocarpus; Chamaedorea; Cocos; Epidendrum; Howea sp.; Musa; Oncidium; Palmae; Philodendron; Phoenix; Pouteria; Tillandsia; Desmoncus,Absent,,Mexico; Colombia; Ecuador; Peru; Belize; Costa Rica; Guatemala; Honduras; Nicaragua; Panama,Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Cut flowers or branches,Pest is introduced,1,1,2,2,,,,,,,1,1,2,,,,,,,,,No statutory action against findings. ,Tropical palm whitefly pest; not known to cause damage
08-Oct-13,Live - Archived,Aleyrodidae,Aleuroclava jasmini,,Insect,,,,,,,,,,,,,,,,,,,,,,,Ardisia; Bischofia trifoliata; Gardenia jasminoides; Jasminum; Ligustrum; Maesa; Mitragyna; Murraya koenigii; Murraya paniculata; Osmanthus asiaticus; Quisqualis indica; Euphorbiaceae (family); Oleaceae (family); Citrus; Rutaceae (family); Rosaceae (family); Combretaceae (family); Myrsinaceae (family),Absent,Croatia,Oceania; Mexico; United States; Peru; Paraguay; Egypt; Ghana; China; Hong Kong; Indonesia; India; Japan; Sri Lanka; Malaysia; Philippines; Pakistan; Thailand; Taiwan,Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,2,2,12,,,,,,,3,2,12,,,,,,,,,No statutory action against findings. ,Polyphagous whitefly of more concern for warmer countries.
08-Oct-13,Live - Archived,Aleyrodidae,Aleuroclava psidii,,Insect,,,,,,,,,,,,,,,,,,,,,,,Bridelia (= Briedelia); Celtis; Cinnamomum; Dimocarpus; Eugenia; Litchi; Maesa; Morus; Prunus; Psidium; Salix; Sambucus; Streblus; Sageretia; Citrus,Absent,,Bangladesh; China; Hong Kong; India; Malaysia; Thailand; Taiwan,Cut flowers or branches; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),Cut flowers or branches,Pest is introduced,2,2,1,4,,,,,,,2,2,4,,,,,,,,,No statutory action against findings. ,Polyphagous whitefly of more concern for warmer countries.
08-Oct-13,Live,Aleyrodidae,Aleurodicus dispersus,Spiralling white fly,Insect,Northern Ireland: EU 2025/1082 derogation on Calibrachoa and Petunia from Kenya,,,,,,,,,,,,,,,,,,,,,,Acalypha hispida; Ageratum conyzoides; Annona squamosa; Cajanus cajan; Calophyllum brasiliense; Capsicum; Capsicum annuum; Capsicum frutescens; Coccoloba uvifera; Cocos nucifera; Euphorbia pulcherrima; Ficus religiosa; Glycine max; Hibiscus; Inga ingoides; Laguncularia racemosa; Solanum lycopersicum; Mangifera indica; Manihot esculenta; Musa x paradisiaca; Persea americana; Phaseolus lunatus; Prunus; Psidium guajava; Solanum; Solanum melongena; Terminalia catappa; Citrus; Crinum,Absent,Spain; Portugal,United States; Brazil; Colombia; Ecuador; Peru; Venezuela; Australia; Fiji; Micronesia; Kiribati; Marshall Islands; New Caledonia; Nauru; French Polynesia; Papua New Guinea; Palau; Solomon Islands; Tonga; Samoa; Benin; Congo (Democratic Rep.); Congo (Brazzaville); Cameroon; Ghana; Kenya; Mauritius; Mozambique; Nigeria; Senegal; Sao Tome and Principe; Togo; Bangladesh; Brunei; China; Indonesia; India; Laos; Sri Lanka; Myanmar; Maldives; Malaysia; Philippines; Singapore; Thailand; Taiwan; Vietnam; Barbados; Bahamas; Belize; Costa Rica; Cuba; Dominica; Dominican Republic; Guadeloupe; Guatemala; Haiti; Cayman Islands; Martinique; Nicaragua; Panama; Puerto Rico,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,1,3,4,12,Northern Ireland: EU 2025/1082 derogation on Calibrachoa and Petunia from Kenya,,,,,,1,3,12,,,,,,,,,,Serious tropical whitefly pest present in some European island archipelagos but no evidence of being a pest in protected cultivation.
23-Apr-14,Live - Archived,Aleyrodidae,Aleurolobus marlatti ,Whitefly; Marlatt,Insect,,,,,,,,,,,,,,,,,,,,,,,Ficus; Murraya; Ocimum; Rosa; Citrus,Absent,Cyprus; Italy; Malta,Australia; Egypt; Sudan; Indonesia; India; Iran; Japan; Malaysia; Philippines; Pakistan; Saudi Arabia,Fruits or vegetables; Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Fruits or vegetables,Pest is introduced,2,2,4,16,,,,,,,2,2,16,,,,,,,,,No statutory action against findings,Frequently intercepted whitefly which can be damaging to citrus; but unlikely to pose a risk to UK crops.
08-Oct-13,Live - Archived,Aleyrodidae,Aleurothrixus floccosus,Whitefly; flocculent; Woolly whitefly,Insect,Regulated non quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,,,,,,Bougainvillea; Citrus limon; Citrus maxima; Citrus paradisi; Citrus reticulata (s.l.); Citrus sinensis; Coccoloba uvifera; Codiaeum variegatum; Duranta; Fortunella; Mangifera indica; Melia azadirachata; Poncirus; Psidium guajava; Citrus,Absent,Cyprus; Spain; France; Greece; Croatia; Italy; Montenegro; Malta; Portugal; T�rkiye,Mexico; United States; Argentina; Brazil; Chile; Colombia; Ecuador; French Guiana; Guyana; Peru; Paraguay; Suriname; French Polynesia; Angola; Burundi; Benin; Congo (Democratic Rep.); Congo (Brazzaville); Algeria; Egypt; Ethiopia; Gambia; Kenya; Morocco; Mauritius; Malawi; Nigeria; Reunion; Rwanda; Sao Tome and Principe; Togo; Tunisia; Tanzania; Uganda; South Africa; Zambia; Israel; India; Iran; Japan; Lebanon; Philippines; Singapore; Taiwan; Barbados; Bahamas; Belize; Costa Rica; Cuba; Dominica; Dominican Republic; Guadeloupe; Haiti; Jamaica; Saint Kitts and Nevis; Martinique; Panama; Puerto Rico; El Salvador; Trinidad and Tobago,Plants for planting (except seeds bulbs and tubers),,Pest is introduced,0,0,0,1,Regulated non quarantine pest (Northern Ireland),,,,,,0,0,1,,,,,,,,,No statutory action in Great Britain. Statutory action in line with regulations for Northern Ireland.,Hosts not widely grown in the UK; considered to be of little or no phytosanitary risk.
08-Oct-13,Live - Archived,Aleyrodidae,Aleurotrachelus atratus,,Insect,,,,,,,,,,,,,,,,,,,,,,,Cocos nucifera; Palmae; Veitchia merrillii; Chamaedorea seifrizii,Present (Limited),Spain; France,Mexico; United States; Brazil; Colombia; Ecuador; Samoa; Cabo Verde; Comoros; Madagascar; Mauritius; Mozambique; Reunion; Seychelles; Senegal; Sao Tome and Principe; Uganda; Mayotte; Antigua and Barbuda; Bermuda; Bahamas; Belize; Costa Rica; Dominica; Guadeloupe; Guatemala; Saint Kitts and Nevis,Plants for planting (except seeds bulbs and tubers),,Pest spreads to maximum extent,1,1,2,2,,,,,UK local or industry awareness,,1,1,2,,,,,,,,,No statutory action,Tropical palm whitefly pest; no evidence of spread following limited introduction to UK;
08-Oct-13,Live,Aleyrodidae,Aleurotrachelus trachoides,Solanum whitefly,Insect,,,,,,,,,,,,,,,,,,,,,,,Apium graveolens; Capsicum; Capsicum annuum; Capsicum frutescens; Dioscorea; Ipomoea batatas; Solanum lycopersicum; Nicotiana tabacum; Persea americana; Rosa; Solanum melongena,Absent,,Mexico; United States; Brazil; Colombia; Ecuador; French Guiana; Guyana; Peru; Suriname; Venezuela; Fiji; Micronesia; French Polynesia; Gambia; Mozambique; Nigeria; Reunion; Mayotte; India; Antigua and Barbuda; Saint Barthelemy; Bahamas; Belize; Costa Rica; Cuba; Dominica; Dominican Republic; Guadeloupe; Guatemala; Honduras; Haiti; Jamaica; Cayman Islands; Martinique; Nicaragua; Panama; Puerto Rico; El Salvador; Trinidad and Tobago; British Virgin Islands,Fruits or vegetables; Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,3,4,36,Prohibition on Solanaceae plants for planting,,,,,,2,3,24,,,,,,,,,Statutory action against findings,Whitefly pest of tomato; pepper and aubergine present in the Americas and Africa.
08-Oct-13,Live - Archived,Aleyrodidae,Aleurotulus nephrolepidis,fern whitefly,Insect,,,,,,,,,,,,,,,,,,,,,,,Acrostichum; Anemia; Asplenium; Blechnum; Christella; Cyrtomium; Nephrolepis; Pteris; Metathelypteris; Nephrodium; Oleandra; Tectaria,Present (Limited),Germany; Spain; Netherlands; Portugal,United States; Brazil; Madagascar; South Africa,Plants for planting (except seeds bulbs and tubers),,Pest spreads to maximum extent,2,2,1,4,,,,,,,2,2,4,,,,,,,,,No statutory action,Minor whitefly pest of tropical ferns in botanic gardens
08-Oct-13,Live - Archived,Aphididae,Aloephagus myersi,,Insect,,,,,,,,,,,,,,,,,,,,,,,Aloe; Gasteria; Haworthia; Astroloba,Absent,Spain; France; Greece; Italy,United States; Australia; Angola; Algeria; Ethiopia; Kenya; Malawi; Mozambique; Somalia; Tanzania; South Africa; Zimbabwe; Japan,Soil/growing medium; Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,1,2,6,,,,,,,3,1,6,,,,,,,,,No statutory action against findings. ,Aphid pest of succulents. Interested stakeholders such as botanic gardens may wish to monitor for these pests.
08-Oct-13,Live - Archived,Tombusviridae,Alphacarmovirus calibrachoae,,Virus or Viroid,,,,,,,,,,,,,,,,,,,,,,,Calibrachoa,Present (Unknown Distribution),Germany; Netherlands,United States; Japan,Plants for planting (except seeds bulbs and tubers),,Pest spreads to maximum extent,1,1,1,1,,,,,,,1,1,1,,,,,,,,,No statutory action against findings. ,Virus of the ornamental plant Callibrachoa; cuasing mottling on some plants but asymptomatic on others. This virus is thought to be present in the UK; though the distribution is unknown. 
31-Mar-25,Live,Geometridae,Alsophila pometaria,Fall cankerworm,Insect,,,Severity of potential outbreaks in UK,,Effect of temperature on developmental timing,,,,,,,,Presence/severity of outbreaks,,Presence of life stages on rough wood,,,,,,,,Acer; Caragana; Castanea dentata; Celtis occidentalis; Cornus; Cydonia oblonga; Fagus grandifolia; Fraxinus; Ilex; Juglans cinerea; Juglans nigra; Magnolia; Malus; Populus; Prunus; Pyrus communis; Quercus; Rhododendron; Rosa; Salix alba; Tilia; Ulmus; Vaccinium pallidum,,,Canada; United States,Plants for planting (except seeds bulbs and tubers); Cut flowers or branches,Plants for planting (except seeds bulbs and tubers),Pest is introduced,2,4,5,40,Annex 6. part B List of high-risk plants; plant products and other objects from third countries which may not be introduced into Great Britain pending a risk assessment. Majority of which are confirmed host genera.,,,,,,2,4,40,,,,,Y,,,,Statutory action against findings,North American moth that periodically outbreaks and causes large amounts of defoliation to broadleaved trees and shrubs. Repeated infestations can cause tree death.
21-Nov-14,Live - Archived,Tospoviridae,Alstroemeria necrotic streak virus ,,Virus or Viroid,,,Hosts and distribution.,,,,Differentiation between ANSV and Tomato spotted wilt orthotospovirus requires the use of molecular RT-PCR; which hasn?t previously been widely used so the virus may be more prevalent than thought. This is highlighted by the fact that the infected Hoya species were plants imported to the USA from Guatemala and Thailand; and the UK interceptions; were only able to identify ANSV using PCR and sequencing.,,,,Given the recent increase in host species and difficulty in differentiating this virus from TSWV; there are likely to be more hosts than currently recorded.,,,,,,,,,,,,Alstroemeria; Capsicum annuum; Chrysanthemum; Hoya carnosa; Lactuca sativa; Solanum lycopersicum; Osteospermum; Solanum quitoense; Zantedeschia aethiopica,Absent,,Canada; Colombia,Cut flowers or branches; Plants for planting (except seeds bulbs and tubers); Fruits or vegetables,Plants for planting (except seeds bulbs and tubers); Cut flowers or branches,Pest is introduced,4,2,3,24,,,,,,,3,2,18,,,,,,,,,No statutory action,Virus affecting Chrysanthemum and Alstroemeria; but now detected in solanaceous crops; lettuce and Hoya. It only seems to affect foliage; veins and stems and the economic impacts are not currently deemed to be particularly serious. Unlikely to pose a significant threat to UK plant health.
23-Apr-14,Live - Archived,Pleosporaceae (mitosporic),Alternaria gaisen,Black spot of Japanese pear,Fungus,,,,,,,,,,,,,,,,,,,,,,,Pyrus pyrifolia,Absent,France; Hungary; Italy,China; Japan; South Korea; Taiwan,Plants for planting (except seeds bulbs and tubers); Fruits or vegetables,Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,3,1,9,,,,,,,3,3,9,,,,,,,,,No statutory action against findings. ,Fungal pathogen affecting Asian pear; present in parts of Asia and Europe.  Unlikely to pose a significant risk if introduced to the UK due to lack of hosts. 
17-Apr-20,Live,Pleosporaceae (mitosporic),Alternaria linicola,Seedling blight of flax,Fungus,Regulated non quarantine pest,,,,,,,,,,,,,,,,,,,,,,Linum usitatissimum,Present (Widespread),Switzerland; Denmark; France; Ireland; Italy; Sweden,Canada; Kenya; Tanzania; India,,,,,,,,,,,,,,,,,,,,,,,,,,The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this is a Regulated Non Quarantine Pest (RNQP) listed in the legislation; we are making available the information we have gathered on the pest so far. It is possible that we will add new information to this pest entry in due course; but as there are a great many RNQPs this may take some time.
18-Feb-16,Live,Pleosporaceae (mitosporic),Alternaria mali,Alternaria blotch of apple; Cork spot of apple; Leaf spot of apple; Storage rot of apple,Fungus,Provisional quarantine pest (Great Britain). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Malus; Malus domestica; Malus sylvestris,Absent,Serbia; T�rkiye,Canada; United States; Brazil; Chile; China; India; Iran; Japan; South Korea; Taiwan,Plants for planting (except seeds bulbs and tubers); Fruits or vegetables; Cut flowers or branches,Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,2,4,24,Provisional quarantine pest (Great Britain) ,,,,,,1,2,8,,,,,,,,,Statutory action against findings.,Fungal pest of apple trees; which can lead to early defoliation; not known to be present in the UK or widespread in Europe.
08-Oct-13,Live - Archived,Pleosporaceae (mitosporic),Alternaria panax,Leaf spot: ginseng; Leaf spot: ornamentals,Fungus,,,,,,,,,,,,,,,,,,,,,,,Aralia; Brassica; Dizygotheca; Eleutherococcus; Fatsia; Kalopanax; Meryta; Oplopanax; Panax; Polyscias; Pseudopanax; Schefflera; Tupidanthus,Absent,Spain; Italy,Canada; United States; Venezuela; Australia; New Zealand; China; Israel; Japan; North Korea,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,4,2,24,,,,,,,3,4,24,,,,,,,,,No statutory action against findings.,A leaf spot disease; some commonly grown pot plants are hosts but main damage is to ginseng.
08-Oct-13,Live - Archived,Pleosporaceae (mitosporic),Alternaria sp. (leaf spot of Impatiens),,Fungus,,,,,,,,,,,,,,,,,,,,,,,Impatiens walleriana,Absent,,United States,Plants for planting (except seeds bulbs and tubers); Seeds,Plants for planting (except seeds bulbs and tubers),Pest is introduced,3,1,2,6,,,,,,,3,1,6,,,,,,,,,No statutory action against findings. ,Apparently undescribed species of fungal leaf spot. Host specific and not an important pathogen in America.
23-Apr-14,Live - Archived,Arctiidae,Amata cyssea ,handmaiden moth,Insect,,,,,,,,,,,,,,,,,,,,,,,Avena sativa; Compositae; Ipomoea; Piper betle; Santalum,Absent,,India; Sri Lanka,Plants for planting (except seeds bulbs and tubers); Fruits or vegetables; Cut flowers or branches,Fruits or vegetables,Pest is introduced,1,1,4,4,,,,,,,1,1,4,,,,,,,,,No statutory action against findings,Polyphagous moth pest with no records of damage in areas where in area where it is present and with little likelihood of transfer to susceptible crops if introduced to the UK. 
08-Oct-13,Live,Bromoviridae,American plum line pattern virus,American line pattern of plum; American plum line pattern; Banded chlorosis of oriental flowering cherry,Virus or Viroid,Regulated quarantine pest. EPPO A1,,,,,,,,,,,,,,,,,,,,,,Prunus; Prunus armeniaca; Prunus domestica; Prunus persica; Prunus serrulata,Absent,Albania; Italy; Netherlands,Canada; United States; Argentina; New Zealand; Japan; South Korea; Lebanon,Plants for planting (except seeds bulbs and tubers),Plants for planting (except seeds bulbs and tubers),Pest is introduced,4,2,2,16,Regulated quarantine pest,,Industry accreditation scheme,,,,2,2,8,Y,,,,,,,,Statutory action against findings. ,Regulated virus pest of stone fruit. The presence in Italy is concerning.
23-Jun-22,Live,Cicadellidae,Amphigonalia severini,,Insect,Regulated quarantine pest (Northern Ireland as Neokolla severini); and in Great Britain regulated quarantine pest as Cicadellidae (non-European) known to be vector of Xylella fastidiosa,,,,,,,,,,,,,,,,,,,,,,Artemisia vulgaris; Ceanothus; Eriodictyon; Lonicera hispidula; Medicago sativa; Ribes; Vinca minor; Vitis,Absent,,Mexico; United States,,,,,,,,Regulated quarantine pest (Northern Ireland as (as Neokolla severini); and in Great Britain regulated quarantine pest as Cicadellidae (non-European) known to be vector of Xylella fastidiosa,,,,,,,,,,,,,,,,,Statutory action in Great Britain and Northern Ireland,The Risk Register entry for this pest is extremely incomplete and it cannot be compared with other pests on the Risk Register at the current time. As this pest is listed in the legislation; we are making available the information we have gathered on the pest so far. We will add new information to this pest entry in due course. 
06-Feb-15,Live - Archived,Noctuidae,Anadevidia peponis,snakegourd semi-looper,Insect,,,,,,,,,,,,,,,,,,,,,,,Citrullus; Cucumis sativus; Cucurbita; Lagenaria; Momordica; Trichosanthes; Cucurbitaceae (family),Absent,,Australia; Bangladesh; China; India; Japan; Nepal,Fruits or vegetables,Fruits or vegetables,Pest is introduced,1,3,3,9,,,,,,,1,3,9,,,,,,,,,No statutory action against findings,Moth pest from Southern Asia causing relatively minor effects on its main hosts; cucurbits.  Introduction to the UK is unlikely.
08-Oct-13,Live - Archived,Thripidae,Anaphothrips occidentalis,,Insect,,,,,,,,,,,,,,,,,,,,,,,Anigozanthos; Poaceae (family); Conostylis candicans; Haemodoraceae (family); Wild flowers,Absent,,Australia,Cut flowers or branches; Plants for planting (except seeds bulbs and tubers),Cut flowers or branches,Pest is introduced,2,1,5,10,,,,,,,2,1,10,,,,,,,,,No statutory action against findings.,Australian Thrips species not known as a plant pest.
26-May-22,Live,Tephritidae,Anastrepha curvicauda,Papaya fruit fly,Insect,Regulated quarantine pest (Northern Ireland),,,,,,,,,,,,,,,,,,,,,,Carica papaya; Gonolobus; Morrenia odorata; Vasconcellea cauliflora; Jacaratia mexicana,Absent,,Mexico; United States; Colombia; Ecuador; Venezuela; Bahamas; Belize; Costa Rica; Cuba; Dominican Republic; Guatemala; Honduras; Haiti; Saint Kitts and Nevis; Nicaragua; Panama; Puerto Rico; El Salvador; Trinidad and Tobago,Fruits or vegetables,Fruits or vegetables,Pest is introduced,,,,1,Regulated quarantine pest (Northern Ireland),,,,,,,,1,,,,,,,,,Statutory action in Northern Ireland. No statutory action in Great Britain.,Tropical/subtropical fruit fly from the Americas; affecting mainly papaya fruit. Unlikely to establish in the UK and considered to be of little phytosanitary risk.
08-Oct-13,Live - Archived,Tephritidae,Anastrepha fraterculus species complex,South American fruit fly,Insect,Regulated quarantine pest (Northern Ireland) (as Anastrepha spp.)). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Eugenia smithii; Eugenia uniflora; Malus domestica; Mangifera indica; Prunus domestica; Prunus persica; Psidium guajava; Psidium guineense; Spondias mombin; Spondias purpurea; Syzygium jambos; Terminalia catappa; Citrus,Absent,,Mexico; United States; Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Guyana; Peru; Paraguay; Suriname; Venezuela; Costa Rica; Guatemala; Panama; Trinidad and Tobago,Soil/growing medium; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),,Pest is introduced,0,0,0,1,Regulated quarantine pest (Northern Ireland),,,,,,0,0,1,,,,,,,,,No statutory action in Great Britain. Statutory action in line with regulations for Northern Ireland.,Tropical fruit fly unlikely to establish in the UK; considered to be of little or no phytosanitary risk
08-Oct-13,Live - Archived,Tephritidae,Anastrepha ludens,Mexican fruit fly,Insect,Regulated quarantine pest (Northern Ireland) (as Anastrepha spp.). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Annona cherimola; Annona muricata; Annona squamosa; Citrus aurantifolia; Citrus x aurantium; Citrus paradisi; Citrus reticulata; Citrus sinensis; Mangifera indica; Prunus persica; Psidium guajava; Citrus,Absent,,Mexico; United States; Belize; Costa Rica; Guatemala; Honduras; Nicaragua; El Salvador,Soil/growing medium; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),,Pest is introduced,0,0,0,1,Regulated quarantine pest (Northern Ireland),,,,,,0,0,1,,,,,,,,,No statutory action in Great Britain. Statutory action in line with regulations for Northern Ireland.,Tropical fruit fly unlikely to establish in the UK; considered to be of little or no phytosanitary risk
08-Oct-13,Live - Archived,Tephritidae,Anastrepha obliqua,Antillean fruit fly; West Indian fruit fly,Insect,Regulated quarantine pest (Northern Ireland) (as Anastrepha spp.). EPPO A1,,,,,,,,,,,,,,,,,,,,,,Anacardium; Anacardium occidentale; Averrhoa carambola; Eugenia uniflora; Malpighia glabra; Mangifera indica; Myrciaria cauliflora; Psidium guajava; Spondias mombin; Spondias purpurea; Spondias tuberosa; Citrus,Absent,,Mexico; United States; Argentina; Brazil; Colombia; Ecuador; Guyana; Peru; Paraguay; Suriname; Venezuela; Antigua and Barbuda; Barbados; Bahamas; Belize; Costa Rica; Cuba; Dominica; Dominican Republic; Grenada; Guadeloupe; Honduras; Haiti; Jamaica; Saint Kitts and Nevis; Saint Lucia; Martinique; Nicaragua; Panama; Puerto Rico; El Salvador; Trinidad and Tobago; Saint Vincent and the Grenadines; British Virgin Islands,Soil/growing medium; Fruits or vegetables; Plants for planting (except seeds bulbs and tubers),,Pest is introduced,0,0,0,1,Regulated quarantine pest (Northern Ireland),,,,,,0,0,1,,,,,,,,,No statutory action in Great Britain. Statutory action in line with regulations for Northern Ireland. ,Tropical fruit fly unlikely to establish in the UK; considered to be of little or no phytosanitary risk
25-Jul-22,Live,Tephritidae,Anastrepha recurcauda,,Insect,Regulated quarantine pest (Northern Ireland; as Toxotrypana recurcauda),,,,,,,,,,,,,,,,,,,,,,Annona cherimola; Carica papaya,Absent,,Ecuador,Fruits or vegetables,Fruits or vegetables,Pest is introduced,,,,1,Regulated quarantine pest (Northern Ireland),,,,,,,,1,,,,,,,,,Statutory action in Northern Ireland. No statutory action in Great Britain.,Fruit fly known from Ecuador. The known hosts are papaya and custard apple. Considered to be of little phytosanitary risk to the UK.
